OpptyNum,Topic,(IG)CustomerContactIndexValue,ContactName,(IG)CustomerAccountIndex,Account,Contact,Budget Amount,Created On,Est. Close Date,Actual Close Date,Est. Revenue,Actual Revenue,(IG)ForecastCatIndex,Forecast category,(IG)SalesStageIndex,Sales Stage,(IG)StatusIndex,Status,(IG)StatusReasonIndex,Status Reason,(IG)PurchaseTimeframeIndex,Purchase Timeframe,Close Probability,)IG)PurchaseProcessIndex,Purchase Process,Owner,Created By,Price List,Revenue,Currency,Description
30011,[30011] Opportunity for Travelers $56551.77 This Year,203552,Ryan King,100106,Travelers,Ryan.King203552@notadomain.test,69817,4/24/2022,7/6/2022,,56551.77,,5,Won,2,Develop,1,Open,1,In Progress,4,This Year,16,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30012,[30012] Opportunity for Evercore $53534.72 Next Quarter,204218,Anne Gebhart,100988,Evercore,Anne.Gebhart204218@notadomain.test,83648,3/22/2022,8/6/2022,,53534.72,,6,Lost,1,Qualify,1,Open,1,In Progress,3,Next Quarter,86,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30013,[30013] Opportunity for Carter's $24151.68 This Quarter,201163,John Lopez,100689,Carter's,John.Lopez201163@notadomain.test,28752,4/13/2022,4/13/2022,4/13/2022,24151.68,0,6,Lost,4,Close,3,Lost,5,Out-Sold,2,This Quarter,74,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30014,[30014] Opportunity for Infor $57204.3 This Quarter,200942,Matthew Sanchez,100749,Infor,Matthew.Sanchez200942@notadomain.test,61510,4/4/2022,4/4/2022,4/4/2022,57204.3,0,6,Lost,2,Develop,3,Lost,4,Canceled,2,This Quarter,26,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30015,[30015] Opportunity for Ferrellgas Partners $4273.3 Next Quarter,204716,Kimberly Lopez,101057,Ferrellgas Partners,Kimberly.Lopez204716@notadomain.test,85466,4/10/2022,4/10/2022,4/10/2022,4273.3,0,6,Lost,1,Qualify,3,Lost,5,Out-Sold,3,Next Quarter,97,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30016,[30016] Opportunity for General Motors $278.07 Immediate,202781,Karen Rodriguez,100018,General Motors,Karen.Rodriguez202781@notadomain.test,713,5/9/2022,5/9/2022,5/9/2022,278.07,278.07,5,Won,4,Close,2,Won,3,Won,1,Immediate,28,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30017,[30017] Opportunity for EnLink Midstream $69889.72 This Year,203053,James Morales,100483,EnLink Midstream,James.Morales203053@notadomain.test,88468,3/25/2022,3/25/2022,3/25/2022,69889.72,69889.72,5,Won,2,Develop,2,Won,3,Won,4,This Year,87,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30018,[30018] Opportunity for Party City Holdco $22429.09 Unknown,202521,Nicholas Hill,100907,Party City Holdco,Nicholas.Hill202521@notadomain.test,36769,2/25/2022,8/22/2022,,22429.09,,5,Won,1,Qualify,1,Open,2,On Hold,5,Unknown,32,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30019,[30019] Opportunity for EMCOR Group $160.52 Unknown,203159,Carter Jimenez,100344,EMCOR Group,Carter.Jimenez203159@notadomain.test,8026,5/9/2022,7/1/2022,,160.52,,6,Lost,4,Close,1,Open,1,In Progress,5,Unknown,46,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30020,[30020] Opportunity for Vertex Pharmaceuticals $1304.7 Next Quarter,202332,Jim Chan,100626,Vertex Pharmaceuticals,Jim.Chan202332@notadomain.test,4349,4/15/2022,8/11/2022,,1304.7,,6,Lost,3,Propose,1,Open,2,On Hold,3,Next Quarter,32,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
